train_loss,valid_loss,accuracy_multi,f1_score
0.7108612656593323,0.6781002283096313,0.7125815153121948,0.5269434309045063
0.5572724938392639,0.5368871688842773,0.8279590010643005,0.6267286553168556
0.4505350589752197,0.45757508277893066,0.8519105315208435,0.6212204469070055
0.39688625931739807,0.41744449734687805,0.861696183681488,0.666306954540016
0.3787740468978882,0.40754929184913635,0.8546133637428284,0.6640504439076145
0.3641693890094757,0.4027388095855713,0.8634669780731201,0.6843764522019578
0.3463781177997589,0.4013773798942566,0.8621621131896973,0.6836507345846432
0.34191471338272095,0.39377984404563904,0.8672879934310913,0.687908605201158
0.33154159784317017,0.39243799448013306,0.8702701926231384,0.68758586968851
0.3232780992984772,0.3852987289428711,0.8717614412307739,0.7032204939719264
0.31684091687202454,0.4223010241985321,0.8591799139976501,0.683186881771565
0.3104701638221741,0.38809654116630554,0.8662627339363098,0.6802408366396311
0.3054969608783722,0.3751952648162842,0.8730663061141968,0.7122636820495682
0.2922378182411194,0.39023298025131226,0.8708295226097107,0.7023452052074629
0.2890512943267822,0.38786205649375916,0.8698044419288635,0.7069246979581185
0.2756767272949219,0.39088794589042664,0.8713885545730591,0.686848598223439
0.27145859599113464,0.38126707077026367,0.873345673084259,0.7057285063632017
0.25884467363357544,0.3760581612586975,0.8735320568084717,0.7104278368934481
0.2509879469871521,0.3756941854953766,0.8726001977920532,0.7098871292565874
0.24836109578609467,0.3812934458255768,0.8745572566986084,0.7102123724109843
0.24014437198638916,0.3829762935638428,0.8738118410110474,0.7101732998782031
